player_id,player_display_name,player_name,position,position_group,team,season,week,season_type,attempts,completions,passing_yards,passing_tds,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,passing_epa,rushing_epa,receiving_epa,target_share,air_yards_share,wopr,macabets_performance_cap,macabets_requested_season,macabets_active_season,macabets_is_fallback
00-0033109,Javon Hargrave,J.Hargrave,NT,DL,MIN,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033110,Tyler Higbee,T.Higbee,TE,TE,LA,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033120,Kenny Clark,K.Clark,NT,DL,DAL,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033132,Kevin Byard,K.Byard,FS,DB,CHI,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033156,Joey Bosa,J.Bosa,DE,DL,BUF,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033217,Mo Alie-Cox,M.Alie-Cox,TE,TE,IND,2025,1,REG,0,0,0,0,0,0,0,1,1,20,0,,,1.3617712380364537,0.034482758620689655,0.01020408163265306,0.05886699507389162,0.2,2026,2025,True
00-0033246,Johnny Mundt,J.Mundt,TE,TE,JAX,2025,1,REG,0,0,0,0,0,0,0,1,0,0,0,,,-0.563763843732886,0.034482758620689655,-0.013452914798206279,0.042307097572290085,0.2,2026,2025,True
00-0033280,Christian McCaffrey,C.McCaffrey,RB,RB,SF,2025,1,REG,0,0,0,0,22,69,0,10,9,73,0,,-5.274798283557175,4.759142103773174,0.29411764705882354,0.07692307692307693,0.49502262443438916,0.2,2026,2025,True
00-0033281,Marlon Humphrey,M.Humphrey,CB,DB,BAL,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033288,George Kittle,G.Kittle,TE,TE,SF,2025,1,REG,0,0,0,0,0,0,0,4,4,25,1,,,4.294481564022135,0.11764705882352941,0.08461538461538462,0.23570135746606333,0.2,2026,2025,True
